대지위치,연면적,주용도코드,주용도코드명,사용승인일,건물노후도,address,latitude,longitude
인천광역시 부평구 부평동 10-1001번지,657.11,02000,공동주택,1991-12-27,362,인천광역시 부평구 부평동 10-1001번지,37.5034721,126.7326714
인천광역시 부평구 부평동 10-1002번지,657.61,02000,공동주택,1991-12-27,362,인천광역시 부평구 부평동 10-1002번지,37.5033342,126.7326843
인천광역시 부평구 부평동 10-1003번지,657.61,02000,공동주택,1992-09-29,349,인천광역시 부평구 부평동 10-1003번지,37.5031885,126.7326913
인천광역시 부평구 부평동 10-1004번지,488.1,03000,제1종근린생활시설,1991-11-22,361,인천광역시 부평구 부평동 10-1004번지,37.5030377,126.7326185
인천광역시 부평구 부평동 10-1007번지,386.88,03000,제1종근린생활시설,1991-11-22,361,인천광역시 부평구 부평동 10-1007번지,37.5030572,126.7327738
인천광역시 부평구 부평동 10-101번지,404.61,04000,제2종근린생활시설,1994-09-13,325,인천광역시 부평구 부평동 10-101번지,37.5040053,126.7328321
인천광역시 부평구 부평동 10-1021번지,335.46,02000,공동주택,1992-07-03,351,인천광역시 부평구 부평동 10-1021번지,37.5039393,126.7261686
인천광역시 부평구 부평동 10-1036번지,422.44,01000,단독주택,1993-09-16,337,인천광역시 부평구 부평동 10-1036번지,37.5037245,126.7261115
인천광역시 부평구 부평동 10-1044번지,61.82,03000,제1종근린생활시설,1987-11-24,409,인천광역시 부평구 부평동 10-1044번지,37.504245,126.7295482
인천광역시 부평구 부평동 10-1046번지,295.74,01000,단독주택,1999-06-04,268,인천광역시 부평구 부평동 10-1046번지,37.5034635,126.7331694
인천광역시 부평구 부평동 10-1059번지,609.44,02000,공동주택,1996-04-30,306,인천광역시 부평구 부평동 10-1059번지,37.5050386,126.7316107
인천광역시 부평구 부평동 10-1060번지,644.58,02000,공동주택,1996-05-01,305,인천광역시 부평구 부평동 10-1060번지,37.5048599,126.7316022
인천광역시 부평구 부평동 10-1072번지,165.78,01000,단독주택,1997-02-17,296,인천광역시 부평구 부평동 10-1072번지,37.5034666,126.7329114
인천광역시 부평구 부평동 10-1074번지,270.98,01000,단독주택,1995-12-20,314,인천광역시 부평구 부평동 10-1074번지,37.505269,126.7297305
인천광역시 부평구 부평동 10-1105번지,87.52,04000,제2종근린생활시설,2004-12-15,206,인천광역시 부평구 부평동 10-1105번지,37.5041403,126.7305843
인천광역시 부평구 부평동 10-1118번지,389.43,02000,공동주택,2001-05-04,245,인천광역시 부평구 부평동 10-1118번지,37.5041726,126.728352
인천광역시 부평구 부평동 10-1119번지,654.05,02000,공동주택,2001-05-28,245,인천광역시 부평구 부평동 10-1119번지,37.5027646,126.7278935
인천광역시 부평구 부평동 10-1140번지,616.92,02000,공동주택,2003-06-24,220,인천광역시 부평구 부평동 10-1140번지,37.503226,126.7334222
인천광역시 부평구 부평동 10-114번지,258.0,01000,단독주택,1989-07-25,387,인천광역시 부평구 부평동 10-114번지,37.5047262,126.7316107
인천광역시 부평구 부평동 10-1209번지,490.99,03000,제1종근린생활시설,2019-05-29,29,인천광역시 부평구 부평동 10-1209번지,37.5021939,126.7287829
인천광역시 부평구 부평동 10-1210번지,214.2,01000,단독주택,2018-10-29,36,인천광역시 부평구 부평동 10-1210번지,37.5059819,126.7307059
인천광역시 부평구 부평동 10-129번지,163.27,01000,단독주택,1995-07-29,315,인천광역시 부평구 부평동 10-129번지,37.5036325,126.7326694
인천광역시 부평구 부평동 10-130번지,170.54,01000,단독주택,1984-02-01,452,인천광역시 부평구 부평동 10-130번지,37.5034825,126.7322108
인천광역시 부평구 부평동 10-131번지,206.82,01000,단독주택,1988-12-12,398,인천광역시 부평구 부평동 10-131번지,37.5035281,126.7320763
인천광역시 부평구 부평동 10-138번지,472.22,02000,공동주택,2003-08-19,218,인천광역시 부평구 부평동 10-138번지,37.5032309,126.7335914
인천광역시 부평구 부평동 10-152번지,1573.3,04000,제2종근린생활시설,1993-04-23,342,인천광역시 부평구 부평동 10-152번지,37.5040195,126.7306966
인천광역시 부평구 부평동 10-161번지,216.135,01000,단독주택,1997-02-17,296,인천광역시 부평구 부평동 10-161번지,37.5036347,126.7328965
인천광역시 부평구 부평동 10-164번지,1267.75,04000,제2종근린생활시설,1996-06-19,304,인천광역시 부평구 부평동 10-164번지,37.5033453,126.7338026
인천광역시 부평구 부평동 10-165번지,659.9,02000,공동주택,2003-08-19,218,인천광역시 부평구 부평동 10-165번지,37.5033788,126.7335871
인천광역시 부평구 부평동 10-166번지,659.81,02000,공동주택,2003-07-01,219,인천광역시 부평구 부평동 10-166번지,37.5033817,126.7334127
인천광역시 부평구 부평동 10-184번지,273.32,04000,제2종근린생활시설,1989-09-12,385,인천광역시 부평구 부평동 10-184번지,37.504261,126.7328238
인천광역시 부평구 부평동 10-185번지,732.01,04000,제2종근린생활시설,2002-11-11,229,인천광역시 부평구 부평동 10-185번지,37.5039531,126.7326949
인천광역시 부평구 부평동 10-187번지,884.3,04000,제2종근린생활시설,2010-07-09,135,인천광역시 부평구 부평동 10-187번지,37.5039008,126.7331393
인천광역시 부평구 부평동 10-195번지,174.45,01000,단독주택,1987-09-07,409,인천광역시 부평구 부평동 10-195번지,37.5044616,126.7262838
인천광역시 부평구 부평동 10-217번지,396.72,01000,단독주택,1994-04-08,330,인천광역시 부평구 부평동 10-217번지,37.5052094,126.7292274
인천광역시 부평구 부평동 10-21번지,333.49,02000,공동주택,1992-07-03,351,인천광역시 부평구 부평동 10-21번지,37.503946,126.7260307
인천광역시 부평구 부평동 10-222번지,494.0,01000,단독주택,1992-09-01,349,인천광역시 부평구 부평동 10-222번지,37.5044436,126.7265054
인천광역시 부평구 부평동 10-223번지,78.0,04000,제2종근린생활시설,2000-02-11,260,인천광역시 부평구 부평동 10-223번지,37.5043362,126.7279661
인천광역시 부평구 부평동 10-225번지,324.96,02000,공동주택,1990-04-03,378,인천광역시 부평구 부평동 10-225번지,37.5037163,126.7333537
인천광역시 부평구 부평동 10-226번지,207.79,01000,단독주택,2010-06-24,136,인천광역시 부평구 부평동 10-226번지,37.50361,126.7334248
인천광역시 부평구 부평동 10-228번지,518.52,02000,공동주택,1994-09-08,325,인천광역시 부평구 부평동 10-228번지,37.503652,126.7331715
인천광역시 부평구 부평동 10-22번지,37.19,01000,단독주택,1974-06-25,568,인천광역시 부평구 부평동 10-22번지,37.5035397,126.7261159
인천광역시 부평구 부평동 10-22번지,245.19,01000,단독주택,1983-10-05,456,인천광역시 부평구 부평동 10-22번지,37.5035397,126.7261159
